a,b,c,d,e,f,g,h,i,FE
5.90,12.00,6.00,0.00,0.00,2.00,2.00,0.00,0.00,22.93
4.20,8.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,26.77
4.20,8.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,24.30
5.20,10.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,24.33
5.20,10.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,23.07
3.00,6.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,32.86
1.50,4.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,52.20
1.50,4.00,1.00,1.00,0.00,2.00,2.00,1.00,1.00,55.64
6.30,8.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,26.00
6.00,12.00,5.00,1.00,0.00,2.00,1.00,1.00,0.00,25.00
6.20,8.00,7.00,0.00,0.00,2.00,2.00,1.00,0.00,26.80
3.60,6.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,32.30
3.80,6.00,7.00,1.00,0.00,2.00,2.00,1.00,1.00,36.77
3.40,6.00,7.00,1.00,0.00,2.00,2.00,1.00,1.00,41.35
3.40,6.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,37.06
5.00,8.00,6.00,1.00,0.00,2.00,2.00,1.00,1.00,30.85
3.80,6.00,7.00,1.00,0.00,2.00,2.00,1.00,1.00,36.77
3.80,6.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,34.86
3.80,6.00,7.00,1.00,0.00,2.00,2.00,1.00,1.00,37.07
3.80,6.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,36.03
6.00,12.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,24.70
3.00,6.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,36.47
3.00,6.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,32.86
3.00,6.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,36.47
3.00,6.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,32.86
1.60,4.00,6.00,1.00,1.00,2.00,2.00,1.00,0.00,54.25
1.60,4.00,5.00,0.00,1.00,2.00,2.00,1.00,0.00,52.60
1.60,4.00,6.00,1.00,1.00,2.00,2.00,1.00,0.00,56.42
3.70,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,41.41
3.70,6.00,7.00,1.00,0.00,2.00,2.00,1.00,1.00,35.16
3.50,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,34.75
3.50,6.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,34.90
5.50,8.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,30.60
5.50,8.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,31.70
1.60,4.00,6.00,1.00,0.00,2.00,2.00,1.00,1.00,47.85
1.60,4.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,50.24
1.80,4.00,4.00,1.00,0.00,2.00,2.00,1.00,0.00,47.20
1.80,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,46.90
4.00,8.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,28.40
4.00,8.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,27.97
1.40,4.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,50.40
1.40,4.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,54.05
1.40,4.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,59.70
1.40,4.00,1.00,0.00,0.00,2.00,2.00,1.00,0.00,52.75
2.00,4.00,4.00,1.00,0.00,2.00,2.00,1.00,0.00,40.00
2.00,4.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,40.90
3.60,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,40.50
6.40,8.00,5.00,1.00,0.00,1.00,1.00,1.00,0.00,29.95
6.40,8.00,6.00,1.00,0.00,1.00,1.00,1.00,0.00,31.40
1.80,4.00,1.00,0.00,0.00,2.00,2.00,1.00,0.00,56.99
1.50,4.00,4.00,1.00,0.00,2.00,2.00,1.00,0.00,46.50
